#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
67,Cuba,"1,112,414",,"8,530                                ",,"1,103,774",,110,2,"98,395",754,"14,294,289","1,264,349","11,305,652 ",North America,,"101,3251",,,10,
68,Ecuador,"1,051,239",,"35,942                                ",,"1,011,682",,"3,615",759,"58,037","1,984","3,082,403","170,173","18,113,361 ",South America,,175046,,,200,
69,UAE,"1,049,209",,"2,348                                ",,"1,032,461",,"14,400",,"104,070",233,"198,580,705","19,696,979","10,081,785 ",Asia,,"104,2940",,,"1,428",
70,Uruguay,"1,031,581",,"7,601                                ",,"1,022,055",,"1,925",18,"295,073","2,174","6,114,822","1,749,083","3,496,016 ",South America,,34601,,,551,
71,Panama,"1,029,061",,"8,594                                ",,"1,019,345",,"1,122",16,"231,408","1,933","7,458,705","1,677,258","4,446,964 ",North America,,45171,,,252,
72,Mongolia,"1,007,865",,"2,179                                ",,"1,005,642",,44,192,"298,355",645,"4,030,048","1,193,000","3,378,078 ",Asia,,"31,5501",,,13,
73,Nepal,"1,001,092",,"12,020                                ",,"989,054",,18,,"33,121",398,"6,002,097","198,577","30,225,582 ",Asia,,"302,5155",,,0.6,
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,,"91,3251",,,141,
75,Latvia,"975,230",,"6,211                                ",,"968,675",,344,13,"527,483","3,359","7,857,099","4,249,752","1,848,837 ",Europe,,22980,,,186,
76,Azerbaijan,"827,880",,"10,081                                ",,"817,562",,237,,"80,375",979,"7,483,242","726,514","10,300,205 ",Asia,,"121,0221",,,23,
77,Saudi Arabia,"827,828",,"9,568                                ",,"815,418",,"2,842",16,"23,095",267,"45,037,090","1,256,443","35,844,909 ",Asia,,"433,7461",,,79,
78,Paraguay,"806,256",,"19,820                                ",,N/A,N/A,N/A,7,"110,358","2,713","2,657,506","363,751","7,305,843 ",South America,,93693,,,"12,061",
79,Bahrain,"700,346",,"1,542                                ",,"698,318",,486,15,"392,574",864,"10,680,592","5,986,936","1,783,983 ",Asia,,"31,1570",,,272,
80,Sri Lanka,"671,987",,"16,826                                ",,"655,158",,3,,"31,145",780,"6,486,117","300,619","21,575,842 ",Asia,,"321,2823",,,0.1,
81,Kuwait,"662,858",,"2,570                                ",,"660,237",,51,,"151,326",587,"8,455,743","1,930,391","4,380,326 ",Asia,,"71,7041",,,12,
82,Dominican Republic,"660,095",,"4,384                                ",,"644,785",,"10,926",4,"59,703",397,"3,740,928","338,350","11,056,370 ",North America,,"172,5223",,,988,
83,Cyprus,"642,663",,"1,287                                ",,"633,422",,"7,954",60,"525,315","1,052","9,640,118","7,879,860","1,223,387 ",Asia,,29510,,,"6,502",
84,Myanmar,"633,818",,"19,490                                ",,"614,279",,49,,"11,477",353,"9,931,402","179,828","55,227,143 ",Asia,,"872,8346",,,0.9,
85,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,,99892,,,30,
86,Estonia,"613,507",,"2,904                                ",,"524,990",,"85,613",3,"464,106","2,197","3,652,850","2,763,312","1,321,910 ",Europe,,24550,,,"64,765",
87,Moldova,"598,073",,"11,950                                ",,"504,142",,"81,981",49,"149,028","2,978","3,216,305","801,437","4,013,171 ",Europe,,73361,,,"20,428",
88,Venezuela,"551,412",,"5,845                                ",,"544,843",,724,36,"18,841",200,"3,359,014","114,771","29,266,991 ",South America,,"535,0079",,,25,
89,Egypt,"515,645",,"24,613                                ",,"442,182",,"48,850",122,"4,857",232,"3,693,367","34,792","106,156,692 ",Africa,,"2064,31329",,,460,
90,Libya,"507,159",,"6,437                                ",,"500,717",,5,,"72,032",914,"2,483,446","352,725","7,040,745 ",Africa,,"141,0943",,,0.7,
91,Ethiopia,"499,466",,"7,572                                ",,"486,472",,"5,422",,"4,134",63,"5,456,759","45,167","120,812,698 ",Africa,,"24215,95522",,,45,
92,Qatar,"492,234",,686                                ,,"491,246",,302,,"165,184",230,"4,065,369","1,364,257","2,979,915 ",Asia,,"64,3441",,,101,
93,Réunion,"485,895",,919                                ,,"418,572",,"66,404",10,"535,091","1,012","1,603,660","1,766,027","908,061 ",Africa,,29881,,,"73,127",
94,Honduras,"470,337",,"11,102                                ",,N/A,N/A,N/A,105,"46,016","1,086","1,616,498","158,151","10,221,247 ",North America,,229216,,,"31,962",
95,Armenia,"446,008",,"8,717                                ",,"435,162",,"2,129",,"150,072","2,933","3,242,901","1,091,164","2,971,966 ",Asia,,73411,,,716,
96,Bosnia and Herzegovina,"401,333",,"16,250                                ",,"379,066",,"6,017",,"123,513","5,001","1,884,406","579,939","3,249,317 ",Europe,,82002,,,"1,852",
97,Oman,"399,154",,"4,260                                ",,"384,669",,"10,225",2,"74,973",800,"25,000,000","4,695,724","5,323,993 ",Asia,,"131,2500",,,"1,921",
98,North Macedonia,"346,428",,"9,638                                ",,"336,623",,167,,"166,448","4,631","2,216,193","1,064,810","2,081,304 ",Europe,,62161,,,80,
99,Kenya,"342,810",,"5,688                                ",,"337,040",,82,1,"6,098",101,"3,967,062","70,569","56,215,221 ",Africa,,"1649,88314",,,1,
100,Zambia,"340,172",,"4,044                                ",,"334,091",,"2,037",,"17,471",208,"3,859,335","198,217","19,470,234 ",Africa,,"574,8155",,,105,
101,Albania,"334,153",,"3,595                                ",,"328,935",,"1,623",,"116,577","1,254","1,941,032","677,173","2,866,374 ",Europe,,97971,,,566,
102,Botswana,"328,887",,"2,798                                ",,"325,610",,479,1,"134,726","1,146","2,026,898","830,300","2,441,162 ",Africa,,78721,,,196,
103,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,,25670,,,"11,883",
104,Montenegro,"286,235",,"2,796                                ",,"283,110",,329,6,"455,825","4,453","2,696,125","4,293,535","627,950 ",Europe,,22250,,,524,
105,Brunei ,"275,220",,225                                ,,"243,601",,"31,394",3,"617,873",505,"717,784","1,611,437","445,431 ",Asia,,"21,9801",,,"70,480",
106,Algeria,"271,369",,"6,881                                ",,"182,739",,"81,749",,"5,984",152,"230,861","5,091","45,350,148 ",Africa,,"1676,591196",,,"1,803",
107,Nigeria,"266,463",,"3,155                                ",,"259,850",,"3,458",11,"1,229",15,"5,708,974","26,339","216,746,934 ",Africa,,"81368,70038",,,16,
