Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,

SABSL,"1,008.00",-1.18,"1,020.00",990.00,"1,005.00","1,716",,
SADBL,340.00,-1.25,344.90,331.30,337.50,"29,948",,
SAEF,11.12,0,11.13,11.03,11.12,"25,095",,
SAHAS,608.10,1.52,616.00,577.30,588.00,"61,546",,
SANIMA,260.80,0.69,265.00,259.00,259.00,"63,662",,
SAPDBL,260.10,-3.42,274.00,260.10,264.00,"20,826",,
SBCF,8.50,-1.96,8.65,8.50,8.50,"150,636",,
SBD87,765.00,0,765.00,765.00,765.00,110,,
SBI,331.00,-4.06,344.00,329.00,343.90,"45,986",,
SBID83,880.10,0.01,880.10,880.10,880.10,25,,
SBL,294.00,-0.68,297.80,293.00,297.00,"37,470",,
SBLD2082,920.00,0,920.00,920.00,920.00,50,,
SBLD84,790.00,0.38,790.00,790.00,790.00,25,,
SBLPO,171.50,0,171.50,171.50,171.50,"46,869",,
SCB,500.00,-0.6,510.00,497.00,507.00,"40,164",,
SDBD87,780.00,0,780.00,780.00,780.00,200,,
SDLBSL,900.00,-1.64,910.00,900.00,902.00,784,,
SEF,8.77,-3.63,9.00,8.75,8.92,"8,720",,
SFCL,324.00,-6.09,343.70,323.50,340.10,"95,677",,
SFMF,10.22,0,10.42,10.02,10.02,"1,700",,
SGHC,411.60,9.67,411.60,358.00,367.80,"29,501",,
SGIC,498.00,0.61,514.00,476.00,485.10,"23,218",,
SHEL,352.00,-2.79,363.00,350.00,360.00,"16,621",,
SHINE,355.00,-1.11,360.30,351.90,352.00,"42,126",,
SHIVM,525.00,-0.38,534.00,521.00,525.00,"94,868",,
SHL,233.90,0.39,235.00,225.40,230.00,"29,133",,
SHLB,"2,359.00",-0.25,"2,404.00","2,353.50","2,355.00","3,435",,
SHPC,338.00,-0.29,345.00,330.00,333.00,"55,667",,
SIC,870.00,-4.4,930.00,870.00,928.20,"15,844",,
SICL,947.20,-1.33,960.00,940.00,941.00,"19,240",,
SIFC,346.30,-3.54,359.00,345.10,352.30,"10,981",,
SIGS2,8.80,-2.65,8.86,8.77,8.86,"3,700",,
SIKLES,487.00,0.41,487.50,460.90,477.00,"20,670",,
SIL,660.00,1.06,693.90,640.10,640.10,"5,818",,
SINDU,296.00,-1.99,303.00,295.00,296.00,"6,030",,
SJCL,331.00,-3.22,344.90,327.70,336.00,"50,441",,
SJLIC,494.40,9.99,494.40,458.40,458.40,"1,815",,
SKBBL,"1,266.00",-0.71,"1,285.90","1,263.00","1,275.00","4,864",,
SLBBL,"1,034.00",-0.3,"1,036.00","1,018.00","1,036.00","4,068",,
SLBSL,"1,258.00",-0.48,"1,283.00","1,258.00","1,283.00",134,,
SLCF,8.21,-2.49,8.40,8.20,8.26,"57,080",,
SLI,452.00,-0.24,464.00,442.00,453.10,"13,927",,
SMATA,844.00,-2.43,858.80,840.00,848.00,"1,179",,
SMB,"1,264.00",-1.94,"1,265.00","1,264.00","1,265.00",56,,
SMFBS,"1,550.00",2.99,"1,550.00","1,525.00","1,535.00",531,,
SMFDB,"1,324.00",-1.34,"1,334.00","1,312.10","1,320.00","2,587",,
SPC,497.00,4.63,500.00,465.00,466.00,"18,719",,
SPDL,338.50,0.59,349.80,330.00,333.00,"57,277",,
SPHL,483.00,9.8,483.80,420.00,431.20,"22,851",,
SRBL,197.00,-0.25,200.00,195.00,197.50,"15,774",,
SRBLD83,900.00,-1.59,900.00,900.00,900.00,20,,
SSHL,262.00,-2.6,270.00,260.70,264.00,"142,089",,
STC,"4,670.00",-0.34,"4,685.00","4,593.00","4,593.00","1,284",,
SWBBL,"1,180.20",-0.66,"1,191.90","1,180.00","1,181.00","1,817",,
SWMF,914.00,-5.28,952.00,914.00,946.00,"11,867",,
TPC,439.00,1.86,451.90,421.50,430.00,"10,930",,
TRH,507.00,4.32,507.00,469.00,476.30,"67,776",,
UHEWA,470.00,0,480.00,453.00,460.60,"15,290",,
UIC,470.10,-0.19,480.00,462.00,465.00,"17,855",,
ULBSL,"3,789.00",1.47,"3,951.40","3,700.00","3,730.00","14,474",,
UMHL,280.00,-1.51,285.00,277.00,280.00,"89,657",,
UMRH,590.00,7.08,590.00,530.00,550.00,"33,807",,
UNHPL,254.00,-0.39,260.10,246.00,250.00,"77,233",,
UNL,"18,400.00",0.44,"18,400.00","18,321.00","18,325.00",55,,
UPCL,262.30,-1.47,270.00,262.00,262.00,"94,783",,
UPPER,537.00,-2.13,549.90,535.10,548.70,"97,998",,
USHEC,382.00,-2.3,392.80,376.10,383.20,"20,627",,
USLB,983.90,-0.01,984.00,980.00,984.00,360,,
VLBS,953.10,-2.74,978.00,949.50,961.00,956,,
WNLB,"1,030.10",-2.91,"1,046.00","1,006.00","1,040.00",240,,
